accession,timestamp,ii_version,client_country,,
230,4/24/2019 15:54,0.96,,,
1806,2019.11.08 09:07:39,1.3.0,PL,"""PL"",",Poland
1856,11/18/2019 5:46,1.3.0,KE,"""KE"",",Kenya
1861,11/18/2019 19:05,1.3.0,US,"""US"",",United States
1875,2019.12.03 21:58:27,1.3.0,DE,"""DE"",",Germany
1883,12/12/2019 23:57,1.3.0,CN,"""CN"",",China
1894,2019.12.16 20:42:30,1.3.0,BG,"""BG"",",Bulgaria
1944,1/30/2020 20:27,1.3.0,GB,"""GB"",",United Kingdom
1945,1/30/2020 21:26,1.3.0,CA,"""CA"",",Canada
1968,2/2/2020 15:02,1.3.0,IN,"""IN"",",India
1973,2/7/2020 2:30,1.3.0,BR,"""BR"",",Brazil
1983,2/9/2020 2:33,1.3.0,AU,"""AU"",",Australia
2004,3/9/2020 6:58,1.3.0,PH,"""PH"",",Philippines
2008,3/25/2020 1:50,1.3.0,HR,"""HR"",",Croatia
2068,6/2/2020 14:41,1.3.0,PK,"""PK"",",Pakistan
2260,8/13/2020 1:49,1.3.0,MY,"""MY"",",Malaysia
2287,9/12/2020 2:22,1.3.0,JP,"""JP"",",Japan
2308,2020.11.04 23:40:56,1.3.0,TR,"""TR"",",Turkey
2335,12/14/2020 18:10,1.3.0,CL,"""CL"",",Chile
2369,1/26/2021 22:59,1.3.0,GR,"""GR"",",Greece
2372,1/27/2021 3:41,1.3.0,MX,"""MX"",",Mexico
2416,3/1/2021 0:05,1.3.0,IL,"""IL"",",Israel
2436,3/7/2021 1:32,1.3.0,PT,"""PT"",",Portugal
2458,5/5/2021 18:15,1.3.0,IT,"""IT"",",Italy
2497,6/4/2021 4:06,1.3.0,NO,"""NO"",",Norway
2524,8/1/2021 19:40,1.3.0,IR,"""IR"",",Iran
2526,8/3/2021 20:06,1.3.0,TW,"""TW"",",Taiwan
2535,8/25/2021 18:28,1.3.0,FR,"""FR"",",France
3028,9/26/2021 17:25,1.9.9,NA,"""NA"",",Namibia
3149,10/28/2021 1:41,2.0.0,ZA,"""ZA"",",South Africa
3220,2021.11.27 07:35:23,2.0.0,HK,"""HK"",",Hong Kong SAR
3221,11/27/2021 17:34,2.0.0,SG,"""SG"",",Singapore
3453,5/12/2022 14:16,2.0.0,BE,"""BE"",",Belgium
3535,6/14/2022 7:01,2.0.2,KR,"""KR"",",Korea
3606,7/1/2022 12:33,2.0.2,ES,"""ES"",",Spain
3674,7/18/2022 2:10,2.2.0,MA,"""MA"",",Morocco
3940,8/20/2022 14:04,2.4.4,ID,"""ID"",",Indonesia
3986,9/3/2022 13:06,2.4.4,AR,"""AR"",",Argentina
4032,9/19/2022 10:12,2.4.4,NP,"""NP"",",Nepal
4152,11/9/2022 13:01,2.0.0,AT,"""AT"",",Austria
4156,2022.11.14 16:19:03,2.4.4,UA,"""UA"",",Ukraine
4158,11/14/2022 17:01,2.4.4,SK,"""SK"",",Slovakia
4205,12/12/2022 11:39,2.4.4,RU,"""RU"",",Russia
4216,12/22/2022 10:35,2.4.4,CY,"""CY"",",Cyprus
4218,12/22/2022 21:17,2.4.4,LT,"""LT"",",Lithuania
4222,12/23/2022 20:20,2.4.4,IE,"""IE"",",Ireland
4313,1/9/2023 21:18,2.4.5,NL,"""NL"",",Netherlands
4319,1/13/2023 10:00,2.4.5,SE,"""SE"",",Sweden
4354,1/20/2023 23:56,2.4.5,PE,"""PE"",",Peru
4382,1/25/2023 13:31,2.4.5,VE,"""VE"",",Venezuela
4457,2023.02.08 15:01:47,2.4.5,RO,"""RO"",",Romania
4608,3/20/2023 9:39,2.5.0,SI,"""SI"",",Slovenia
4637,2023.03.27 22:59:39,2.5.0,KZ,"""KZ"",",Kazakhstan
4652,3/28/2023 16:28,2.5.0,LY,"""LY"",",Libya
5022,2023.05.01 17:20:17,2.5.0,LV,"""LV"",",Latvia
